epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7396,1.12946,2.54308,1.10192,0.73325,0.22263,0.30203,0.23012,1.15829,2.80549,1.11876,0.00046826,0.00046826,0.00046826
2,26.7067,1.0532,1.51819,1.06652,0.59565,0.56003,0.57461,0.42584,1.13434,1.96885,1.1553,0.000935242,0.000935242,0.000935242
3,39.4473,1.05864,1.33769,1.07231,0.62025,0.65352,0.57219,0.42393,1.06352,1.8377,1.13146,0.00139279,0.00139279,0.00139279
4,52.1149,1.04524,1.15686,1.07976,0.6706,0.55351,0.5788,0.40211,1.14055,2.06698,1.22917,0.00138656,0.00138656,0.00138656
5,64.7656,1.02768,1.04303,1.06739,0.80517,0.61821,0.66024,0.49203,1.03997,1.16928,1.1148,0.00137241,0.00137241,0.00137241
6,77.4889,0.98849,0.951,1.05753,0.71837,0.67978,0.71589,0.53459,1.01173,1.17914,1.08888,0.00135826,0.00135826,0.00135826
7,90.1559,0.96791,0.87059,1.04526,0.68298,0.64595,0.62232,0.46466,1.08787,1.49717,1.14286,0.00134412,0.00134412,0.00134412
8,102.78,0.96724,0.84195,1.04433,0.82898,0.66524,0.70884,0.5292,1.00409,1.0142,1.11398,0.00132997,0.00132997,0.00132997
9,115.452,0.96679,0.8397,1.04735,0.82991,0.69047,0.72081,0.55578,0.98318,1.01595,1.09397,0.00131582,0.00131582,0.00131582
10,128.23,0.95564,0.80209,1.03386,0.80514,0.70011,0.73668,0.56907,0.97947,0.91472,1.11787,0.00130168,0.00130168,0.00130168
11,140.905,0.91108,0.76906,1.02922,0.80817,0.68478,0.72188,0.55664,0.97955,0.9993,1.10115,0.00128753,0.00128753,0.00128753
12,153.743,0.92445,0.78302,1.02597,0.79247,0.67226,0.69746,0.52847,1.00483,1.00094,1.11586,0.00127338,0.00127338,0.00127338
13,166.47,0.92791,0.73493,1.02889,0.84891,0.7086,0.75305,0.58052,0.983,0.9048,1.11067,0.00125923,0.00125923,0.00125923
14,179.266,0.9122,0.73647,1.02342,0.67306,0.63339,0.61111,0.4608,1.02955,1.12862,1.09355,0.00124509,0.00124509,0.00124509
15,192.079,0.8996,0.72243,1.01668,0.88915,0.7014,0.7434,0.57163,0.96339,0.91018,1.07614,0.00123094,0.00123094,0.00123094
16,204.851,0.90936,0.72894,1.01703,0.88857,0.7496,0.78624,0.60221,0.95181,0.79537,1.09592,0.00121679,0.00121679,0.00121679
17,217.687,0.89293,0.70177,1.01219,0.80697,0.72799,0.74185,0.56853,0.98687,0.92228,1.08379,0.00120265,0.00120265,0.00120265
18,230.632,0.87837,0.67012,1.00514,0.91321,0.71149,0.76687,0.59647,0.94421,0.81829,1.08636,0.0011885,0.0011885,0.0011885
19,243.517,0.88238,0.69418,1.01203,0.90974,0.72403,0.76372,0.60572,0.93231,0.80246,1.06615,0.00117435,0.00117435,0.00117435
20,256.515,0.90462,0.70529,1.01374,0.90321,0.72388,0.77748,0.58025,1.03163,0.80493,1.13783,0.00116021,0.00116021,0.00116021
21,269.404,0.88172,0.67981,1.00887,0.88236,0.73809,0.76351,0.60106,0.92062,0.7736,1.05656,0.00114606,0.00114606,0.00114606
22,282.338,0.86334,0.65796,1.00666,0.90219,0.72537,0.77407,0.61984,0.90619,0.77749,1.07532,0.00113191,0.00113191,0.00113191
23,295.243,0.85924,0.65733,0.99997,0.84816,0.70556,0.75437,0.58828,0.92578,0.86602,1.09287,0.00111776,0.00111776,0.00111776
24,308.169,0.8586,0.64594,0.99711,0.88343,0.72635,0.77748,0.60872,0.91225,0.77636,1.06623,0.00110362,0.00110362,0.00110362
25,321.079,0.86079,0.65978,1.0004,0.81693,0.73596,0.77516,0.60315,0.92553,0.816,1.05885,0.00108947,0.00108947,0.00108947
