epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,334.117,0.84839,0.64934,0.99395,0.89562,0.69394,0.76879,0.60169,0.93057,0.8049,1.068,0.00107532,0.00107532,0.00107532
27,347.082,0.8431,0.62708,0.98471,0.94969,0.72541,0.78683,0.6207,0.92921,0.70813,1.05403,0.00106118,0.00106118,0.00106118
28,359.979,0.84165,0.61326,0.98828,0.89145,0.74185,0.78742,0.62566,0.88201,0.74772,1.05018,0.00104703,0.00104703,0.00104703
29,373.023,0.84047,0.61676,0.98545,0.89718,0.73168,0.78022,0.61217,0.91092,0.7652,1.06147,0.00103288,0.00103288,0.00103288
30,386,0.83105,0.62198,0.98567,0.86829,0.69497,0.74829,0.59416,0.95385,0.85451,1.0843,0.00101873,0.00101873,0.00101873
31,398.926,0.83834,0.60608,0.98454,0.92983,0.76291,0.79007,0.62879,0.89019,0.69442,1.05603,0.00100459,0.00100459,0.00100459
32,411.913,0.84495,0.5968,0.9938,0.92971,0.71538,0.78925,0.62132,0.91229,0.76152,1.0765,0.00099044,0.00099044,0.00099044
33,424.854,0.83529,0.61785,0.98881,0.89047,0.75596,0.78554,0.62847,0.8653,0.66303,1.02302,0.000976293,0.000976293,0.000976293
34,437.753,0.82484,0.59855,0.97943,0.90986,0.73173,0.77735,0.62371,0.90068,0.73837,1.06185,0.000962146,0.000962146,0.000962146
35,450.746,0.82223,0.59022,0.98446,0.92275,0.73743,0.78979,0.62019,0.88651,0.71718,1.06764,0.000947999,0.000947999,0.000947999
36,463.89,0.83993,0.61769,0.99286,0.90647,0.73934,0.7916,0.63251,0.87033,0.68983,1.03072,0.000933851,0.000933851,0.000933851
37,476.85,0.82275,0.58694,0.98086,0.85549,0.70411,0.74662,0.59422,0.86759,0.85365,1.04262,0.000919704,0.000919704,0.000919704
38,489.824,0.81657,0.5927,0.97385,0.91931,0.72847,0.77871,0.6198,0.87914,0.72971,1.04722,0.000905557,0.000905557,0.000905557
39,502.82,0.80034,0.57255,0.97048,0.87809,0.69857,0.75679,0.60188,0.89707,0.80851,1.05602,0.00089141,0.00089141,0.00089141
40,515.853,0.79103,0.55852,0.95981,0.89703,0.72819,0.77007,0.6159,0.8834,0.73333,1.04929,0.000877263,0.000877263,0.000877263
41,528.731,0.80857,0.57796,0.96815,0.92488,0.74757,0.79138,0.63437,0.85428,0.67737,1.0401,0.000863116,0.000863116,0.000863116
42,541.778,0.81603,0.58155,0.98515,0.90087,0.73983,0.78602,0.63303,0.88508,0.73041,1.07798,0.000848969,0.000848969,0.000848969
43,554.79,0.79589,0.57122,0.97092,0.87776,0.68855,0.75282,0.60122,0.87893,0.84787,1.04912,0.000834822,0.000834822,0.000834822
44,567.674,0.79513,0.56437,0.97269,0.92708,0.73245,0.7861,0.62974,0.86845,0.70659,1.03964,0.000820675,0.000820675,0.000820675
45,580.542,0.79163,0.56717,0.97238,0.93017,0.73566,0.79429,0.63248,0.88989,0.70516,1.07088,0.000806528,0.000806528,0.000806528
46,593.583,0.79027,0.53739,0.96531,0.93064,0.72565,0.7857,0.62891,0.88019,0.69019,1.06167,0.00079238,0.00079238,0.00079238
47,606.546,0.78584,0.56502,0.96869,0.92315,0.72516,0.78166,0.62279,0.87015,0.74212,1.05043,0.000778233,0.000778233,0.000778233
48,619.554,0.78747,0.52389,0.96312,0.9344,0.76261,0.79258,0.63018,0.87725,0.68194,1.04937,0.000764086,0.000764086,0.000764086
49,632.567,0.78119,0.55491,0.97157,0.93017,0.74908,0.79908,0.64117,0.86003,0.67043,1.03491,0.000749939,0.000749939,0.000749939
50,645.559,0.79084,0.55693,0.96924,0.91839,0.74134,0.79382,0.63177,0.86808,0.66561,1.0372,0.000735792,0.000735792,0.000735792
51,658.582,0.7786,0.53729,0.96034,0.92664,0.73853,0.78624,0.63028,0.87109,0.68269,1.05087,0.000721645,0.000721645,0.000721645
52,671.574,0.77276,0.53698,0.96424,0.89443,0.72151,0.78289,0.62216,0.86477,0.73972,1.04587,0.000707498,0.000707498,0.000707498
53,684.577,0.76031,0.53873,0.95696,0.89536,0.73173,0.77593,0.6224,0.85392,0.7364,1.04271,0.000693351,0.000693351,0.000693351
54,697.383,0.75894,0.5087,0.94702,0.93195,0.74443,0.80003,0.64272,0.85203,0.64566,1.03077,0.000679204,0.000679204,0.000679204
55,710.312,0.76433,0.52325,0.95934,0.94347,0.74371,0.7989,0.64257,0.87138,0.68572,1.04655,0.000665057,0.000665057,0.000665057
56,723.299,0.76364,0.54012,0.96446,0.9319,0.74463,0.80153,0.64357,0.85471,0.66017,1.03163,0.000650909,0.000650909,0.000650909
57,736.199,0.75764,0.50869,0.94899,0.93735,0.7506,0.80018,0.63903,0.86354,0.66373,1.04674,0.000636762,0.000636762,0.000636762
58,749.071,0.75504,0.51074,0.95921,0.93451,0.74894,0.79097,0.63118,0.8697,0.67685,1.04232,0.000622615,0.000622615,0.000622615
59,761.989,0.76245,0.52907,0.96183,0.93378,0.75046,0.80139,0.63665,0.86915,0.6339,1.03208,0.000608468,0.000608468,0.000608468
60,774.814,0.74529,0.51812,0.95782,0.93172,0.72928,0.78805,0.63296,0.85089,0.69892,1.03896,0.000594321,0.000594321,0.000594321
61,787.705,0.73713,0.51166,0.95279,0.93536,0.74882,0.80138,0.63417,0.85967,0.63992,1.03039,0.000580174,0.000580174,0.000580174
62,800.5,0.74343,0.48636,0.9443,0.93767,0.74405,0.79016,0.62585,0.86632,0.69406,1.04755,0.000566027,0.000566027,0.000566027
63,813.294,0.73835,0.50669,0.95287,0.95983,0.74272,0.80171,0.63151,0.8726,0.67887,1.04974,0.00055188,0.00055188,0.00055188
64,826.118,0.74677,0.51698,0.95309,0.93285,0.75988,0.80047,0.63979,0.86969,0.63421,1.03935,0.000537733,0.000537733,0.000537733
65,838.965,0.745,0.51075,0.9441,0.93192,0.73201,0.79539,0.63491,0.85869,0.70049,1.03837,0.000523586,0.000523586,0.000523586
66,851.919,0.75232,0.50572,0.95412,0.9152,0.76613,0.80234,0.64277,0.84686,0.62734,1.03595,0.000509438,0.000509438,0.000509438
67,864.851,0.74278,0.51222,0.95539,0.96741,0.75855,0.80853,0.65167,0.84649,0.60876,1.02863,0.000495291,0.000495291,0.000495291
68,877.864,0.72672,0.48073,0.94482,0.93376,0.75717,0.80173,0.64956,0.85278,0.64311,1.03586,0.000481144,0.000481144,0.000481144
69,890.663,0.72571,0.4921,0.95181,0.93447,0.75956,0.80348,0.64248,0.86231,0.60746,1.02758,0.000466997,0.000466997,0.000466997
70,903.487,0.72308,0.4817,0.94286,0.91113,0.75763,0.79941,0.63893,0.86673,0.65072,1.04136,0.00045285,0.00045285,0.00045285
71,916.345,0.72154,0.46858,0.93771,0.94413,0.74777,0.80052,0.64477,0.86235,0.64425,1.04061,0.000438703,0.000438703,0.000438703
72,929.175,0.73027,0.48959,0.94719,0.92856,0.75772,0.79731,0.64259,0.85927,0.65535,1.04115,0.000424556,0.000424556,0.000424556
73,941.988,0.72925,0.48824,0.94927,0.94141,0.75669,0.80971,0.64644,0.86029,0.64278,1.0437,0.000410409,0.000410409,0.000410409
74,954.909,0.72891,0.48005,0.9443,0.91106,0.75965,0.8055,0.64867,0.85147,0.63551,1.04054,0.000396262,0.000396262,0.000396262
75,967.775,0.7031,0.4561,0.93825,0.96003,0.75456,0.80728,0.64937,0.85039,0.6417,1.04337,0.000382115,0.000382115,0.000382115
76,980.567,0.70631,0.47373,0.9492,0.9487,0.75373,0.79489,0.64769,0.84392,0.65348,1.04218,0.000367967,0.000367967,0.000367967
77,993.487,0.70621,0.46888,0.95161,0.94914,0.75184,0.80275,0.65091,0.84929,0.63882,1.04811,0.00035382,0.00035382,0.00035382
78,1006.34,0.70872,0.46599,0.94165,0.96069,0.75212,0.80133,0.64411,0.85173,0.64026,1.05307,0.000339673,0.000339673,0.000339673
79,1019.29,0.70013,0.45427,0.93613,0.95212,0.75352,0.80516,0.65021,0.84813,0.64299,1.04947,0.000325526,0.000325526,0.000325526
80,1032.13,0.69132,0.46019,0.94384,0.94902,0.7509,0.80939,0.64948,0.84478,0.62922,1.04298,0.000311379,0.000311379,0.000311379
81,1045.02,0.68625,0.45084,0.93826,0.91408,0.75478,0.80381,0.64706,0.85145,0.6305,1.0407,0.000297232,0.000297232,0.000297232
82,1057.98,0.69554,0.45031,0.93209,0.91643,0.74271,0.8029,0.64131,0.85648,0.64158,1.04909,0.000283085,0.000283085,0.000283085
83,1070.83,0.68492,0.43454,0.9316,0.92784,0.75636,0.8032,0.64494,0.85014,0.6296,1.04573,0.000268938,0.000268938,0.000268938
84,1083.66,0.68759,0.44895,0.94271,0.94579,0.73984,0.79752,0.64511,0.84924,0.64889,1.04573,0.000254791,0.000254791,0.000254791
85,1096.5,0.68471,0.43715,0.93595,0.93803,0.75253,0.79619,0.64514,0.86299,0.6489,1.04897,0.000240644,0.000240644,0.000240644
86,1109.33,0.68831,0.45212,0.93803,0.9314,0.75676,0.80044,0.64656,0.85538,0.62326,1.04232,0.000226497,0.000226497,0.000226497
87,1122.2,0.67917,0.42239,0.9221,0.93773,0.76026,0.79964,0.64874,0.85564,0.61228,1.04345,0.000212349,0.000212349,0.000212349
88,1135.05,0.67096,0.43202,0.92919,0.93358,0.76026,0.8045,0.65048,0.84814,0.61493,1.04304,0.000198202,0.000198202,0.000198202
89,1147.95,0.67858,0.42354,0.91784,0.9385,0.75268,0.80454,0.64886,0.85444,0.62163,1.04214,0.000184055,0.000184055,0.000184055
90,1160.77,0.67315,0.43434,0.93145,0.94317,0.74677,0.79655,0.64518,0.85892,0.61683,1.05188,0.000169908,0.000169908,0.000169908
91,1174.6,0.66715,0.41649,0.92584,0.93771,0.75183,0.79552,0.63983,0.86268,0.61384,1.04497,0.000155761,0.000155761,0.000155761
92,1187.49,0.65209,0.40285,0.91688,0.9132,0.77181,0.80505,0.64602,0.85645,0.61557,1.04751,0.000141614,0.000141614,0.000141614
93,1200.21,0.65067,0.40024,0.91838,0.94692,0.75375,0.80685,0.64554,0.86265,0.61065,1.04364,0.000127467,0.000127467,0.000127467
94,1212.96,0.64485,0.39098,0.9111,0.92032,0.76669,0.81013,0.64914,0.85927,0.61002,1.04807,0.00011332,0.00011332,0.00011332
95,1225.7,0.64147,0.38949,0.91315,0.92982,0.7551,0.80656,0.65037,0.86173,0.61019,1.05127,9.91726e-05,9.91726e-05,9.91726e-05
96,1238.45,0.64148,0.38982,0.90951,0.93305,0.75809,0.80488,0.65109,0.86137,0.61368,1.04506,8.50255e-05,8.50255e-05,8.50255e-05
97,1251.25,0.64365,0.38553,0.90854,0.92314,0.75502,0.80502,0.64868,0.86025,0.62174,1.05018,7.08784e-05,7.08784e-05,7.08784e-05
98,1263.99,0.63552,0.38273,0.90989,0.922,0.75796,0.80679,0.65075,0.85634,0.61389,1.04756,5.67313e-05,5.67313e-05,5.67313e-05
99,1276.72,0.63648,0.38458,0.91476,0.92706,0.76065,0.80694,0.65075,0.8554,0.61984,1.04591,4.25842e-05,4.25842e-05,4.25842e-05
100,1289.63,0.62948,0.37438,0.9064,0.9296,0.75148,0.80562,0.64915,0.85737,0.61091,1.04849,2.84371e-05,2.84371e-05,2.84371e-05
