epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,542.89,0.82902,0.57421,0.99005,0.92693,0.79947,0.86781,0.66718,0.8912,0.71162,1.06544,0.0011882,0.0011882,0.0011882
43,555.88,0.79024,0.55733,0.97349,0.92425,0.82718,0.87305,0.66956,0.90942,0.66476,1.07497,0.0011684,0.0011684,0.0011684
44,568.756,0.8124,0.56261,0.9819,0.95159,0.8219,0.86701,0.66496,0.89393,0.68972,1.06197,0.0011486,0.0011486,0.0011486
45,581.625,0.81172,0.57389,0.9798,0.93363,0.8351,0.87155,0.67525,0.87918,0.66985,1.04826,0.0011288,0.0011288,0.0011288
46,594.657,0.8077,0.53825,0.97063,0.92904,0.81266,0.87361,0.66903,0.90026,0.66304,1.06434,0.001109,0.001109,0.001109
47,607.495,0.79747,0.55814,0.97117,0.95114,0.82058,0.87651,0.67963,0.87202,0.64916,1.04577,0.0010892,0.0010892,0.0010892
48,620.352,0.80036,0.53111,0.97107,0.95133,0.81662,0.87612,0.67613,0.89665,0.66074,1.05681,0.0010694,0.0010694,0.0010694
49,633.404,0.79066,0.5518,0.97366,0.94716,0.81662,0.87691,0.67407,0.88188,0.63488,1.0418,0.0010496,0.0010496,0.0010496
50,646.203,0.80744,0.56023,0.97837,0.95427,0.82594,0.88199,0.67987,0.88506,0.64055,1.05888,0.0010298,0.0010298,0.0010298
51,659.07,0.79435,0.54486,0.97037,0.93602,0.83245,0.87241,0.68212,0.8687,0.65947,1.04633,0.00101,0.00101,0.00101
52,671.889,0.7844,0.5272,0.97018,0.92913,0.83245,0.86883,0.67412,0.88359,0.66986,1.05215,0.0009902,0.0009902,0.0009902
53,684.923,0.78111,0.54945,0.96621,0.94462,0.83265,0.88606,0.68152,0.87222,0.64186,1.04977,0.0009704,0.0009704,0.0009704
